wife_hrly_wge,husb_hrly_wge,age_ref,nondure,newid,region
8.125,32.7333333333,49,9030.3333,657965,2.0
14.6851851852,9.79591836735,29,1718.6667,658105,2.0
10.05,17.9,51,4378.6666,658235,1.0
12.0,9.07142857143,41,2113.3333,658895,3.0
7.5,24.25,42,1366.0,659055,3.0
18.125,25.475,34,5026.3334,659735,1.0
7.5,18.0,43,2250.6667,659895,3.0
26.6666666667,21.0,61,2524.1,660375,1.0
9.40625,17.0,37,3965.3333,660685,3.0
8.375,69.65625,41,1757.6667,660745,2.0
14.8,55.725,32,1674.3334,660815,2.0
4.8125,44.6,50,2741.3333,660825,3.0
9.375,69.65625,51,2827.6667,660895,4.0
9.675,6.1625,45,4261.9999,660905,4.0
12.25,69.65625,57,4939.2,661085,3.0
9.06666666667,1.1875,54,1368.3333,661165,4.0
11.0,12.0,50,5625.6667,661415,3.0
2.58695652174,14.3,49,2889.6667,661465,2.0
2.5,31.25,57,3200.6667,661545,2.0
6.0,10.625,42,1111.0,661965,1.0
15.46,6.57142857143,36,5136.3334,662825,4.0
8.1,12.0,55,4122.6667,663235,4.0
33.75,23.3125,41,1282.9999,663875,3.0
10.0,12.5,49,4733.0,663935,2.0
1.4,24.0,32,6051.2104,664085,4.0
11.4285714286,111.45,37,3093.0,664105,3.0
11.4583333333,15.8625,29,9753.3334,664235,2.0
14.9,10.0,34,1564.0,664345,4.0
15.7142857143,12.5,45,3197.6667,664465,1.0
11.15,19.48125,61,2053.3333,664735,4.0
7.12121212121,19.2375,44,4793.6667,665445,4.0
8.625,5.76875,35,4199.3333,665525,3.0
7.5,6.66666666667,26,871.3333,665685,1.0
10.1666666667,25.1333333333,44,971.3333,665695,2.0
6.0,8.16666666667,39,2033.0,666375,2.0
10.2,26.875,56,1629.6667,666685,1.0
19.375,10.1,41,2430.3334,666955,2.0
5.13333333333,15.8333333333,53,1887.0,666975,2.0
15.4,17.0875,53,1153.3334,667445,4.0
14.35,27.0875,29,2678.3334,667585,4.0
3.8,29.1666666667,59,5075.6667,667735,3.0
9.0,8.88888888889,48,1971.3333,667745,3.0
7.5,7.8875,39,5058.3649,668295,3.0
17.2222222222,32.26,49,1962.6667,668965,3.0
5.0,4.66666666667,53,25543.6666,669185,4.0
5.25,16.0,47,6576.3333,669225,3.0
5.26315789474,8.33333333333,66,3175.4,669395,4.0
17.71,27.046875,37,1819.0,669945,4.0
16.875,16.4,53,1639.3333,670635,4.0
2.375,18.46,53,2065.6666,670855,1.0
7.0,7.0,64,2231.4,670975,3.0
20.9302325581,10.4125,51,1830.3334,671265,2.0
4.5,22.0,43,17764.6667,671805,2.0
55.725,55.725,45,2669.0,672015,2.0
16.67,5.0,38,7334.3333,672565,3.0
10.85,10.9875,45,3267.3334,672775,4.0
5.27142857143,16.8,38,3654.3334,672855,2.0
19.6428571429,19.225,45,4404.0,672935,4.0
40.0,70.679245283,49,2722.6667,672985,1.0
14.5833333333,9.33333333333,39,6031.0,673575,1.0
15.0,13.125,43,4077.6667,673634,3.0
15.0,13.125,43,2750.3333,673635,3.0
15.0,13.75,43,4077.6667,673634,3.0
15.0,13.75,43,2750.3333,673635,3.0
15.0,13.125,43,4077.6667,673634,3.0
15.0,13.125,43,2750.3333,673635,3.0
15.0,13.75,43,4077.6667,673634,3.0
15.0,13.75,43,2750.3333,673635,3.0
9.58333333333,9.09166666667,34,2447.3334,673774,4.0
9.58333333333,9.09166666667,35,1392.3333,673775,4.0
9.58333333333,10.3333333333,34,2447.3334,673774,4.0
9.58333333333,10.3333333333,35,1392.3333,673775,4.0
11.6,9.09166666667,34,2447.3334,673774,4.0
11.6,9.09166666667,35,1392.3333,673775,4.0
11.6,10.3333333333,34,2447.3334,673774,4.0
11.6,10.3333333333,35,1392.3333,673775,4.0
13.1375,24.6904761905,52,4254.6667,673924,4.0
13.1375,24.6904761905,52,3695.6667,673925,4.0
13.1375,16.0,52,4254.6667,673924,4.0
13.1375,16.0,52,3695.6667,673925,4.0
13.75,24.6904761905,52,4254.6667,673924,4.0
13.75,24.6904761905,52,3695.6667,673925,4.0
13.75,16.0,52,4254.6667,673924,4.0
13.75,16.0,52,3695.6667,673925,4.0
5.0,5.05,53,3167.6667,673934,1.0
15.325,22.0,53,2084.6667,673954,2.0
15.325,22.0,53,2367.6666,673955,2.0
15.325,22.0,53,2084.6667,673954,2.0
15.325,22.0,53,2367.6666,673955,2.0
13.3,22.0,53,2084.6667,673954,2.0
13.3,22.0,53,2367.6666,673955,2.0
13.3,22.0,53,2084.6667,673954,2.0
13.3,22.0,53,2367.6666,673955,2.0
11.7,8.72857142857,48,2763.3334,674225,2.0
11.7,8.72857142857,48,2998.6667,674224,2.0
11.7,5.83333333333,48,2763.3334,674225,2.0
11.7,5.83333333333,48,2998.6667,674224,2.0
14.25,8.72857142857,48,2763.3334,674225,2.0
14.25,8.72857142857,48,2998.6667,674224,2.0
14.25,5.83333333333,48,2763.3334,674225,2.0
